ID,KODE KECAMATAN,NAMA KECAMATAN,LAT_LONG,KODE TIM
1701050,010,RONGGA,"7°0'34.673""S,107°13'54.979""E",999
1701051,010,RONGGA,"6°55'57.399""S,107°17'56.751""E",999
1702041,020,GUNUNGHALU,"7°2'25.782""S,107°16'41.590""E",999
1702042,020,GUNUNGHALU,"7°1'59.908""S,107°14'50.302""E",999
1703032,030,SINDANGKERTA,"7°3'51.588""S,107°24'31.081""E",999
1703033,030,SINDANGKERTA,"7°0'4.864""S,107°25'54.888""E",999
1704023,040,CILILIN,"6°57'5.431""S,107°27'27.447""E",999
1704024,040,CILILIN,"6°58'57.790""S,107°25'49.833""E",999
1705014,050,CIHAMPELAS,"6°55'37.721""S,107°26'11.630""E",999
1705015,050,CIHAMPELAS,"6°55'27.644""S,107°27'8.962""E",999
1708005,080,CIPATAT,"6°49'25.876""S,107°23'37.266""E",999
1708006,080,CIPATAT,"6°49'54.324""S,107°26'5.800""E",999
1708056,080,CIPATAT,"6°51'0.869""S,107°22'55.422""E",999
1708057,080,CIPATAT,"6°48'55.907""S,107°27'3.872""E",999
1711047,110,PARONGPONG,"6°49'31.975""S,107°35'30.045""E",999
1711048,110,PARONGPONG,"6°47'57.930""S,107°34'44.306""E",999
1712038,120,LEMBANG,"6°49'28.577""S,107°36'14.882""E",999
1712039,120,LEMBANG,"6°48'0.652""S,107°37'16.603""E",999
1713029,130,CISARUA,"6°47'4.261""S,107°34'15.067""E",999
1713030,130,CISARUA,"6°47'8.277""S,107°28'15.158""E",999
1714019,140,CIKALONG WETAN,"6°44'42.378""S,107°28'42.114""E",999
1714020,140,CIKALONG WETAN,"6°45'42.946""S,107°30'29.243""E",999
1715009,150,CIPEUNDEY,"6°42'16.051""S,107°22'3.338""E",999
1715010,150,CIPEUNDEY,"6°42'40.761""S,107°21'39.547""E",999
1715059,150,CIPEUNDEY,"6°45'37.933""S,107°20'53.430""E",999
1715060,150,CIPEUNDEY,"6°44'21.086""S,107°21'53.012""E",999
