"unique_id_instance","nim","kortim","status_isian","status","form_id","_id","UploadName","time"
"uuid:903079a8-4fb0-4f9d-8aa3-80863a8df799","221911206","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25628","VPKL61 R2 GROUNDCHECK_2022-02-01_08-08-02","2022-02-01 02:51:52"
"uuid:e234a8b2-6ea4-45eb-b4ab-3298b6ec431f","221911206","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25629","VPKL61 R2 GROUNDCHECK_2022-02-01_08-20-01","2022-02-01 02:51:53"
"uuid:13c81b33-f914-421e-bb19-9776e93817f6","221911206","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25630","VPKL61 R2 GROUNDCHECK_2022-02-01_08-21-36","2022-02-01 02:51:54"
"uuid:903079a8-4fb0-4f9d-8aa3-80863a8df799","221911206","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25631","VPKL61 R2 GROUNDCHECK_2022-02-01_08-08-02","2022-02-01 02:51:55"
"uuid:e234a8b2-6ea4-45eb-b4ab-3298b6ec431f","221911206","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25632","VPKL61 R2 GROUNDCHECK_2022-02-01_08-20-01","2022-02-01 02:51:55"
"uuid:13c81b33-f914-421e-bb19-9776e93817f6","221911206","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25633","VPKL61 R2 GROUNDCHECK_2022-02-01_08-21-36","2022-02-01 02:51:56"
"uuid:bc0ba852-0151-44f1-8078-6cb267f93f68","221911095","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25639","VPKL61 R2 GROUNDCHECK_2022-02-01_08-08-51","2022-02-01 02:53:17"
"uuid:1d18cb72-eca0-4b3d-ac52-54a4b4a7653e","221911095","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25640","VPKL61 R2 GROUNDCHECK_2022-02-01_08-19-16","2022-02-01 02:53:18"
"uuid:ccd85ee5-4bb4-432b-80b0-9a5b629a1b1c","221911095","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25641","VPKL61 R2 GROUNDCHECK_2022-02-01_08-22-11","2022-02-01 02:53:19"
"uuid:bc0ba852-0151-44f1-8078-6cb267f93f68","221911095","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25642","VPKL61 R2 GROUNDCHECK_2022-02-01_08-08-51","2022-02-01 02:53:20"
"uuid:1d18cb72-eca0-4b3d-ac52-54a4b4a7653e","221911095","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25643","VPKL61 R2 GROUNDCHECK_2022-02-01_08-19-16","2022-02-01 02:53:20"
"uuid:ccd85ee5-4bb4-432b-80b0-9a5b629a1b1c","221911095","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25644","VPKL61 R2 GROUNDCHECK_2022-02-01_08-22-11","2022-02-01 02:53:21"
"uuid:5ac2fb2e-0510-4318-b637-1e4d6f16f3ae","221911077","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25650","VPKL61 R2 GROUNDCHECK_2022-02-01_08-10-21","2022-02-01 02:56:17"
"uuid:079086a7-2bee-4211-ab54-9ea70408f35a","221911077","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25651","VPKL61 R2 GROUNDCHECK_2022-02-01_08-19-39","2022-02-01 02:56:17"
"uuid:d660dddf-b0f7-47c1-8d1c-55f61e50a0c9","221911077","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25652","VPKL61 R2 GROUNDCHECK_2022-02-01_08-23-43","2022-02-01 02:56:18"
"uuid:5ac2fb2e-0510-4318-b637-1e4d6f16f3ae","221911077","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25653","VPKL61 R2 GROUNDCHECK_2022-02-01_08-10-21","2022-02-01 02:56:20"
"uuid:079086a7-2bee-4211-ab54-9ea70408f35a","221911077","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25654","VPKL61 R2 GROUNDCHECK_2022-02-01_08-19-39","2022-02-01 02:56:20"
"uuid:d660dddf-b0f7-47c1-8d1c-55f61e50a0c9","221911077","221910827","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25655","VPKL61 R2 GROUNDCHECK_2022-02-01_08-23-43","2022-02-01 02:56:21"
"uuid:0d667db0-431c-48d1-9be9-b155a279a337","221910827","221910827","Clear","Final","VPKL61.R2.GROUNDCHECK","25665","VPKL61 R2 GROUNDCHECK_2022-02-01_08-29-20","2022-02-01 02:58:58"
"uuid:4d251a7c-18cb-4067-b94a-5b50c5ae9113","221910827","221910827","Clear","Final","VPKL61.R2.GROUNDCHECK","25666","VPKL61 R2 GROUNDCHECK_2022-02-01_08-33-01","2022-02-01 02:58:59"
"uuid:fd5b814b-6500-4faa-86be-baa4dcc8a2da","221910827","221910827","Clear","Final","VPKL61.R2.GROUNDCHECK","25667","VPKL61 R2 GROUNDCHECK_2022-02-01_08-35-36","2022-02-01 02:58:59"
"uuid:a4092606-4c31-4219-894f-91e94874d5b5","111911152","111910890","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25747","R2-32-3214-100-011-088G-34-WILAYAH-34_01-02-2022_14.27.31","2022-02-01 03:19:10"
"uuid:2e996ac6-f132-44fe-a83f-8ae36d685ba5","221911205","111910890","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25786","VPKL61 R2 GROUNDCHECK_2022-02-01_14-14-31","2022-02-01 03:34:05"
"uuid:a49f786c-39e3-4016-b2a7-1ebf47c7080b","221911205","111910890","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25789","VPKL61 R2 GROUNDCHECK_2022-02-01_10-12-50","2022-02-01 03:34:57"
"uuid:0620c38e-f940-4a0a-afdb-561c7c2463bb","221911205","111910890","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25790","R2-32-3214-100-011-088G-70-WILAYAH-70_01-02-2022_14.34.30","2022-02-01 03:35:26"
"uuid:a5cd1d06-c92b-42fd-81dc-37e7eee0ec2d","111911152","111910890","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25791","R2-32-3214-100-011-088G-39-WILAYAH-39_01-02-2022_15.04.43","2022-02-01 03:35:27"
"uuid:0d83ebde-0670-4c68-a2da-3f4105e5bd54","211910774","211910848","Clear","Terkirim","VPKL61.R2.GROUNDCHECK","25793","VPKL61 R2 GROUNDCHECK_2022-02-01_15-18-31","2022-02-01 03:35:51"
